hour_index,gpu_HP,gpu_Spot,cpu_HP,cpu_Spot,gpu_total,cpu_total
81,6165.8886,0.0,158606.0803,0.0,6165.8886,158606.0803
82,6199.7714,0.0,159164.3022,0.0,6199.7714,159164.3022
83,6378.9229,0.0,161455.4061,0.0,6378.9229,161455.4061
84,6505.9464,0.0,163184.9611,0.0,6505.9464,163184.9611
85,6508.7881,0.0,163413.1575,0.0,6508.7881,163413.1575
86,6490.865,0.0,162954.3722,0.0,6490.865,162954.3722
87,6599.0483,0.0,163908.4689,0.0,6599.0483,163908.4689
88,6676.465,0.0,165244.1928,0.0,6676.465,165244.1928
89,6796.8325,0.0,167200.2853,0.0,6796.8325,167200.2853
90,6681.1914,0.0,166158.4258,0.0,6681.1914,166158.4258
91,6618.9506,0.0,165089.8703,0.0,6618.9506,165089.8703
92,6527.8847,0.0,163904.6008,0.0,6527.8847,163904.6008
93,6504.1781,0.0,163956.9772,0.0,6504.1781,163956.9772
94,6480.0747,0.0,163642.6444,0.0,6480.0747,163642.6444
95,6473.7079,0.0,163659.1769,0.0,6473.7079,163659.1769
96,6092.3483,0.0,156354.6944,0.0,6092.3483,156354.6944
97,6371.5122,0.0,160594.88,0.0,6371.5122,160594.88
98,6258.2581,0.0,158516.7536,0.0,6258.2581,158516.7536
99,6171.5204,0.0,156985.6461,0.0,6171.5204,156985.6461
100,5931.3939,0.0,153769.6097,0.0,5931.3939,153769.6097
101,5944.8597,0.0,153852.2283,0.0,5944.8597,153852.2283
102,5919.8842,0.0,153447.3333,0.0,5919.8842,153447.3333
103,5914.0278,0.0,153259.1561,0.0,5914.0278,153259.1561
104,5925.1758,0.0,153270.4175,0.0,5925.1758,153270.4175
105,5958.9258,0.0,154020.3003,0.0,5958.9258,154020.3003
106,6096.1836,0.0,156269.6633,0.0,6096.1836,156269.6633
107,6259.8669,0.0,159474.1228,0.0,6259.8669,159474.1228
108,6288.7392,0.0,159816.4264,0.0,6288.7392,159816.4264
109,6275.3411,0.0,159957.9817,0.0,6275.3411,159957.9817
110,6214.7522,0.0,159344.3808,0.0,6214.7522,159344.3808
111,6192.3623,0.1856,159872.2767,0.4639,6192.5479,159872.7406
112,6288.1698,0.0,161586.1197,0.0,6288.1698,161586.1197
113,6351.0809,0.0,162672.2647,0.0,6351.0809,162672.2647
114,6615.6487,0.0,166168.0322,0.0,6615.6487,166168.0322
115,6496.9248,0.0,164539.9853,0.0,6496.9248,164539.9853
116,6456.7363,0.0,163899.2358,0.0,6456.7363,163899.2358
117,6460.4714,0.0,164106.9661,0.0,6460.4714,164106.9661
118,6399.9799,0.0,163373.4803,0.0,6399.9799,163373.4803
119,6395.3036,0.0,163062.6924,0.0,6395.3036,163062.6924
120,5830.4606,0.0,155314.365,0.0,5830.4606,155314.365
121,5845.5514,0.0,155541.2392,0.0,5845.5514,155541.2392
122,5788.774,0.0,155030.5236,0.0,5788.774,155030.5236
123,5805.8386,0.0,155133.9697,0.0,5805.8386,155133.9697
124,5799.1528,0.0,155096.7128,0.0,5799.1528,155096.7128
125,5788.3119,0.0,154989.3578,0.0,5788.3119,154989.3578
126,5776.5086,0.0,155043.1706,0.0,5776.5086,155043.1706
127,5794.2081,0.0,155200.2056,0.0,5794.2081,155200.2056
128,5811.6039,0.0,155182.4261,0.0,5811.6039,155182.4261
129,5881.2005,0.0,155616.0336,0.0,5881.2005,155616.0336
130,5987.6631,0.0,156667.3642,0.0,5987.6631,156667.3642
131,6270.2424,0.0,159459.1425,0.0,6270.2424,159459.1425
132,6302.3672,0.0,160120.5622,0.0,6302.3672,160120.5622
133,6264.1535,0.0,160034.7009,0.0,6264.1535,160034.7009
134,6299.6825,0.0,160336.7011,0.0,6299.6825,160336.7011
135,6367.6034,0.0,161176.8275,0.0,6367.6034,161176.8275
136,6372.3744,0.0,165891.6339,0.0,6372.3744,165891.6339
137,6226.0387,0.0,165455.0478,0.0,6226.0387,165455.0478
138,6382.1538,0.0,165854.1272,0.0,6382.1538,165854.1272
139,6349.4368,0.0,165655.0369,0.0,6349.4368,165655.0369
140,6370.0397,0.0,165887.2672,0.0,6370.0397,165887.2672
141,6452.5323,0.0,166538.8286,0.0,6452.5323,166538.8286
142,6468.1875,0.0,166585.1742,0.0,6468.1875,166585.1742
143,6422.4229,0.0,166531.7436,0.0,6422.4229,166531.7436
144,5855.8771,0.0,160483.6253,0.0,5855.8771,160483.6253
145,5895.3969,0.0,161060.3839,0.0,5895.3969,161060.3839
146,5886.9505,0.0,160896.8914,0.0,5886.9505,160896.8914
147,5866.8669,0.0,160741.6383,0.0,5866.8669,160741.6383
148,5867.5624,0.0,160523.5711,0.0,5867.5624,160523.5711
149,5839.03,0.0,160137.8572,0.0,5839.03,160137.8572
150,5800.6506,0.0,159793.6817,0.0,5800.6506,159793.6817
151,5797.3848,0.0,159718.6528,0.0,5797.3848,159718.6528
152,5809.7257,0.0,159615.3989,0.0,5809.7257,159615.3989
153,5796.1441,0.0,159472.0756,0.0,5796.1441,159472.0756
154,5834.3025,0.0,160106.3536,0.0,5834.3025,160106.3536
155,5971.5528,0.0,161563.8389,0.0,5971.5528,161563.8389
156,6094.9518,0.0,163089.1614,0.0,6094.9518,163089.1614
157,6004.503,0.0,162345.8944,0.0,6004.503,162345.8944
158,6215.3021,0.0,164054.4358,0.0,6215.3021,164054.4358
159,6297.7177,0.0,164962.1081,0.0,6297.7177,164962.1081
160,6253.2947,0.0,164607.0372,0.0,6253.2947,164607.0372
161,6302.7964,0.0,164944.08,0.0,6302.7964,164944.08
162,6328.5414,0.0,165775.9678,0.0,6328.5414,165775.9678
163,6287.0594,0.0,165312.6944,0.0,6287.0594,165312.6944
164,6368.4241,0.0,165844.9953,0.0,6368.4241,165844.9953
165,6347.9416,0.0,165927.5039,0.0,6347.9416,165927.5039
166,6330.4938,0.0,165906.3356,0.0,6330.4938,165906.3356
167,6303.6449,0.0,165434.1567,0.0,6303.6449,165434.1567
168,5869.5295,0.0,160319.5864,0.0,5869.5295,160319.5864
169,5833.2569,0.0,159932.4783,0.0,5833.2569,159932.4783
170,5858.6963,0.0,159823.0419,0.0,5858.6963,159823.0419
171,5926.295,0.0,160133.5933,0.0,5926.295,160133.5933
172,5927.731,0.0,160121.1814,0.0,5927.731,160121.1814
173,5935.5714,0.0,160186.3622,0.0,5935.5714,160186.3622
174,5947.3936,0.0,160264.445,0.0,5947.3936,160264.445
175,5946.4249,0.0,160250.3383,0.0,5946.4249,160250.3383
176,6002.8466,0.0,160518.2822,0.0,6002.8466,160518.2822
177,6037.6562,0.0,161010.4622,0.0,6037.6562,161010.4622
178,6088.3856,0.0,161735.2883,0.0,6088.3856,161735.2883
179,6132.7113,0.0,162396.3156,0.0,6132.7113,162396.3156
180,6123.3282,1.8011,162633.4669,9.0056,6125.1293,162642.4725
181,6034.2894,2.9656,162380.5325,14.8278,6037.255,162395.3603
182,6031.4394,0.0,162609.8069,0.0,6031.4394,162609.8069
183,6122.2702,0.0,164250.9817,0.0,6122.2702,164250.9817
184,6125.7919,0.0,164330.815,0.0,6125.7919,164330.815
185,6159.6036,0.0,164793.8331,0.0,6159.6036,164793.8331
186,6243.8821,0.0,166970.9656,0.0,6243.8821,166970.9656
187,6233.0055,0.0,166816.3019,0.0,6233.0055,166816.3019
188,6211.8627,0.0,166476.6514,0.0,6211.8627,166476.6514
189,6182.1186,0.0,165703.3594,0.0,6182.1186,165703.3594
190,6148.5158,0.0,165097.9422,0.0,6148.5158,165097.9422
191,6144.3164,0.0,165034.8008,0.0,6144.3164,165034.8008
192,5874.2718,0.0,161435.5267,0.0,5874.2718,161435.5267
193,5786.5461,0.0,160576.7708,0.0,5786.5461,160576.7708
194,5742.4941,0.0,159857.4661,0.0,5742.4941,159857.4661
195,5729.8594,0.0,159721.32,0.0,5729.8594,159721.32
196,5724.3839,0.0,159656.0472,0.0,5724.3839,159656.0472
197,5716.5974,0.0,159569.8575,0.0,5716.5974,159569.8575
198,5715.0603,0.0,159542.0511,0.0,5715.0603,159542.0511
199,5713.3286,0.0,159535.0078,0.0,5713.3286,159535.0078
200,5765.7385,0.0,159924.5217,0.0,5765.7385,159924.5217
201,5784.6553,0.0,160158.4108,0.0,5784.6553,160158.4108
202,5775.4762,0.0,160059.5089,0.0,5775.4762,160059.5089
203,5781.8277,0.0,160206.9586,0.0,5781.8277,160206.9586
204,5849.09,0.0,161245.4428,0.0,5849.09,161245.4428
205,5968.0208,0.0,163432.8153,0.0,5968.0208,163432.8153
206,5981.2255,0.0,163580.6653,0.0,5981.2255,163580.6653
207,5963.0514,0.0,163025.7228,0.0,5963.0514,163025.7228
208,5941.4264,0.0,162483.1731,0.0,5941.4264,162483.1731
209,5953.0633,0.0,162485.1953,0.0,5953.0633,162485.1953
210,5937.1524,0.0,162079.2214,0.0,5937.1524,162079.2214
211,5935.5507,0.0,162215.4964,0.0,5935.5507,162215.4964
212,5927.6246,0.0,162215.9144,0.0,5927.6246,162215.9144
213,5938.9876,0.0,162276.9,0.0,5938.9876,162276.9
214,5953.7634,0.0,162563.7906,0.0,5953.7634,162563.7906
215,5995.7881,0.0,162784.1814,0.0,5995.7881,162784.1814
216,5824.7322,0.0,160857.0981,0.0,5824.7322,160857.0981
217,5811.7389,0.0,160988.255,0.0,5811.7389,160988.255
218,5842.1827,0.0,161734.7989,0.0,5842.1827,161734.7989
219,5840.4022,0.0,161497.4122,0.0,5840.4022,161497.4122
220,5816.8054,0.0,160995.7328,0.0,5816.8054,160995.7328
221,5808.9516,0.0,160651.5481,0.0,5808.9516,160651.5481
222,5821.7392,0.0,160849.0572,0.0,5821.7392,160849.0572
223,5842.9366,0.0,161034.5619,0.0,5842.9366,161034.5619
224,5893.1686,0.0,161352.0764,0.0,5893.1686,161352.0764
225,5905.3214,0.0,161519.4993,0.0,5905.3214,161519.4993
226,5954.6444,0.0,162176.2817,0.0,5954.6444,162176.2817
227,5959.9741,0.0,162118.9853,0.0,5959.9741,162118.9853
228,5964.7429,0.0,162059.8819,0.0,5964.7429,162059.8819
229,6005.0758,0.0,162756.6394,0.0,6005.0758,162756.6394
230,6065.3746,0.0,164092.7717,0.0,6065.3746,164092.7717
231,6091.081,0.0,164259.1436,0.0,6091.081,164259.1436
232,6072.2783,0.0,163835.0397,0.0,6072.2783,163835.0397
233,6044.2188,0.0,163328.5831,0.0,6044.2188,163328.5831
234,6043.886,0.0,163240.8731,0.0,6043.886,163240.8731
235,6059.8293,0.0,163364.4664,0.0,6059.8293,163364.4664
236,6074.9017,0.0,163548.4017,0.0,6074.9017,163548.4017
237,6052.0008,0.0,163037.7425,0.0,6052.0008,163037.7425
238,6068.8247,0.0,163231.925,0.0,6068.8247,163231.925
239,6060.3464,0.0,163162.1402,0.0,6060.3464,163162.1402
240,5632.2825,0.0,156598.3744,0.0,5632.2825,156598.3744
241,5721.5399,0.0,158730.5753,0.0,5721.5399,158730.5753
242,5713.2114,0.0,158683.725,0.0,5713.2114,158683.725
243,5676.6511,0.0,158075.1622,0.0,5676.6511,158075.1622
244,5644.5609,0.0,157503.1511,0.0,5644.5609,157503.1511
245,5626.7873,0.0,157079.7172,0.0,5626.7873,157079.7172
246,5596.243,0.0,156528.4939,0.0,5596.243,156528.4939
247,5585.36,0.0,156107.9733,0.0,5585.36,156107.9733
248,5627.413,0.0,156254.4622,0.0,5627.413,156254.4622
249,5635.1052,0.0,156340.2164,0.0,5635.1052,156340.2164
250,5738.3545,0.0,157827.7714,0.0,5738.3545,157827.7714
251,5907.603,0.0,160240.2497,0.0,5907.603,160240.2497
252,6003.0883,0.0,161566.0072,0.0,6003.0883,161566.0072
253,6103.0743,0.0,162406.2853,0.0,6103.0743,162406.2853
254,6114.0969,0.0,162281.0581,0.0,6114.0969,162281.0581
255,6156.5774,0.0,163025.6169,0.0,6156.5774,163025.6169
256,6188.6914,0.0,163209.6344,0.0,6188.6914,163209.6344
257,6220.7701,0.0,163515.2317,0.0,6220.7701,163515.2317
258,6237.4286,0.0,163593.8019,0.0,6237.4286,163593.8019
259,6206.8204,0.0,163618.9822,0.0,6206.8204,163618.9822
260,6203.5,0.0,163624.9425,0.0,6203.5,163624.9425
261,6230.6369,0.0,163808.3994,0.0,6230.6369,163808.3994
262,6230.2354,0.0,163683.9553,0.0,6230.2354,163683.9553
263,6231.9441,0.0,163742.4044,0.0,6231.9441,163742.4044
264,5848.1368,0.0,157395.2217,0.0,5848.1368,157395.2217
265,5940.828,0.0,160517.4783,0.0,5940.828,160517.4783
266,6428.1704,0.0,172324.1806,0.0,6428.1704,172324.1806
